score,country
13.778149799885643,Bolivia
14.456494436487827,Colombia
13.473896304622734,Morocco
13.845353803759473,Mexico
13.812744172744171,Cambodia
13.498792483006799,Guinea
13.17396275649389,Cyprus
12.543298448213637,Monaco
12.426455533051001,Brunei
13.927122272540139,China
13.74904365904366,Uganda
15.052105362895581,Indonesia
12.895231043466335,Sudan
13.622654071075122,Montenegro
13.951382878645344,Malawi
13.719102293862367,Philippines
13.319420006971068,Poland
13.012461670550717,Maldives
13.042627951312507,Kuwait
12.63991141868512,Libya
13.418343263501821,Eritrea
14.235346405228757,Tajikistan
13.767622761921643,Pakistan
14.333046989720994,Mozambique
14.476439737771049,Slovenia
13.203028377341951,Netherlands
12.892732840929561,Barbados
13.091913846153844,Russia
14.066235500878733,India
13.4253706350827,Vanuatu
14.096528335564479,Armenia
14.045388650453024,Bangladesh
13.909085226589731,Uzbekistan
13.08223110465116,Chad
14.157450009172628,Argentina
13.894194570135749,Zimbabwe
12.22118551367332,Qatar
13.689654248190838,Kyrgyzstan
13.47359674607786,Laos
14.21092609915809,Brazil
12.635836828059475,Grenada
14.208081044223647,Germany
13.64852082336046,Niger
13.378517906336086,Japan
13.74803901950975,Lebanon
13.061916500994034,Djibouti
12.97964038727524,Sweden
13.400898627097487,Angola
14.041523599227162,Belarus
12.949706045479754,Ireland
13.021148596446046,Jordan
13.762998073217727,Guyana
13.948460207612456,Ecuador
13.684471594379964,Zambia
14.37048951048951,Liechtenstein
14.031055597867478,Belgium
14.255869003160008,Moldova
13.960435478706373,Peru
12.689867715409363,Belize
14.023441176470584,Rwanda
12.220723112128148,Andorra
13.732522255192876,Uruguay
13.320322238711043,Ethiopia
13.234592239618788,Slovakia
13.586464767616189,Romania
13.389949198905818,Burma
13.41754988028731,Lesotho
13.28315923566879,Algeria
13.585390617283949,Iceland
14.47676509710029,Paraguay
13.720945924132366,Estonia
14.225780787134997,Azerbaijan
13.769962311557787,Honduras
14.133891823899368,Greece
13.118615512927438,Dominica
14.199256698357821,Portugal
14.401372276309687,Australia
13.677731826118922,Chile
13.622557820936418,Italy
13.589541306151478,Turkey
13.814182272159801,Ukraine
13.78764744125569,Switzerland
12.947296360485272,Taiwan
14.061666666666664,Gabon
13.555756903010963,France
13.87973337419552,Serbia
12.774100964265457,Nauru
14.008984238178634,Bulgaria
13.642860135199466,Spain
14.636073685625924,Canada
13.654952312254547,Finland
13.373720098545654,Israel
14.409318134715026,Botswana
13.869802816901409,Luxembourg
13.660426065162909,Kenya
13.891171811863586,Namibia
12.92205544933078,Haiti
13.19003558718861,Liberia
14.29893135725429,Cameroon
13.19085209713024,Senegal
12.790596338589815,Fiji
12.063390311263717,Yemen
12.925420311341735,Tunisia
13.913504712939158,Venezuela
13.960342569269521,Hungary
13.212179316466933,Mali
13.390549070471248,Norway
13.6345670995671,Vietnam
13.443492841480719,Afghanistan
13.896265382557512,Ghana
13.741485432909315,Mauritius
12.981902198295199,Nepal
13.641914099968023,Austria
13.336548988496624,Mongolia
13.724550781249999,Tuvalu
13.049942386831276,Egypt
13.100362470718778,Thailand
13.223291995490417,Syria
13.55158227848101,Albania
11.993609329446066,Oman
13.424813123625906,Swaziland
13.091887950882576,Tanzania
13.59234807972776,Malaysia
14.025374570446733,Guatemala
14.025694249649366,Singapore
14.249957580899284,Croatia
14.054688052003112,Somalia
12.945812978754155,Iran
12.788027380211574,Cuba
13.602113887750921,Nigeria
13.715520181921544,Jamaica
14.40320053715309,Kazakhstan
12.559625823825382,Malta
13.896339404709018,Kiribati
13.311621931635695,Palestine
13.45448788368336,Guinea-Bissau
14.6082011404873,Turkmenistan
13.916026255100228,Nicaragua
13.57536493166618,Latvia
13.783489875053856,Comoros
12.908463687150835,Togo
14.634636810486075,Lithuania
12.489256198347103,Iraq
12.76265577844843,Panama
13.347748635049783,Denmark
13.75210561646901,Tonga
